generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,28.226517
0.195,967.49817
0.14,448.90585
0.231,1165.9385
1.298,6118.0015
1.368,4732.783
1.037,3539.7979
0.719,2750.1182
0.959,3839.1965
1.809,7584.0806
2.517,11746.46
2.564,12604.024
3.239,14011.973
2.77,10713.099
4.641,17255.889
4.29,15820.613
3.514,15639.075
5.648,19848.045
3.189,13780.938
5.894,25070.348
6.265,24806.156
6.399,25055.82
5.429,20181.693
6.141,25129.592
6.69,24147.613
6.953,27185.004
6.733,26244.621
6.393,24270.99
5.961,23113.424
6.155,23703.785
6.047,23334.752
6.266,24518.29
6.07,23135.217
5.747,22507.475
4.818,17590.227
3.827,15287.208
4.015,14451.744
3.154,12609.683
3.707,15047.993
3.319,12326.816
1.826,6802.431
1.715,6678.105
1.516,5916.933
1.151,4081.3132
0.814,3037.614
0.83,3053.5874
0.777,3308.221
0.793,3073.25
0.552,1833.6403
0.384,1471.0922
0.255,874.0557
0.065,159.2759
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.008,28.865412
0.032,237.92491
0.162,613.3218
0.185,770.1349
0.229,856.37994
0.17,1007.6485
0.912,3745.409
0.75,2901.0945
0.55,1942.8607
0.659,3168.3616
1.068,5041.733
2.868,12875.738
3.554,17718.035
2.918,9961.705
2.619,9581.162
2.42,9383.085
1.767,8385.017
3.7,13103.717
2.197,8886.697
3.66,16060.445
2.12,7953.5684
1.549,4804.9956
2.291,10066.126
3.255,12922.019
3.544,14009.017
3.782,14715.631
3.844,15048.357
4.43,20800.842
4.945,19669.742
5.267,21737.047
5.001,18705.357
5.798,22311.082
5.004,18883.531
3.504,13888.186
3.72,13158.724
2.351,8839.42
3.428,14377.673
3.762,13722.513
2.6,10170.41
3.24,13126.503
2.541,8001.4814
0.877,3643.96
1.488,5366.552
1.091,4453.4624
0.785,2831.777
0.54,2058.5718
0.243,1073.6465
0.179,552.31396
0.078,292.62454
0.013,36.380264
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
