generation(kWh),power(W)
2.7,8753.333
4.21,19498.334
2.637,9040
4.018,19604.666
6.094,17760.334
6.814,24613.334
7.337,38316
8.053,38571.668
6.797,21273.666
6.985,24212.666
3.808,9539
3.642,16050.333
4.668,12976.667
2.427,9539.667
4.3,18563.334
3.773,8805
3.825,13568
4.084,12506
6.293,15724.667
6.881,35802.332
9.118,16489
5.889,22698.334
6.768,31006
7.823,40208
8.487,39151.668
3.534,7849
7.03,32026.666
5.962,27724.334
7.233,24035.666
7.425,28177.666
7.053,27123.334
6.433,21246.334
4.359,16985.666
2.588,14796
2.056,11329.333
1.143,3815
0.893,3441.6667
0.884,2860
0.729,3421.6667
0.96,3435.3333
0.438,1441.6666
0.177,595
0.071,220
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,25.333334
0.111,561
0.357,1587.6666
0.713,2966.3333
0.769,3146.3333
1.258,5157.6665
1.878,7819
2.594,10518.667
3.258,13043
3.767,15009
4.381,17478.334
5.073,19763.666
5.514,21608.666
6.056,24044
6.678,26250.666
7.005,27367.334
7.353,28806.334
7.719,30177.666
8.055,31539.334
8.405,32788
8.674,33801
8.892,34758.332
9.205,35894
9.351,36440.668
9.38,36666
9.491,36850.668
9.76,38304
9.948,38610
9.881,38474.332
9.884,38297.332
9.791,37935
9.67,37465.332
9.463,36839.332
9.323,36065
9.07,35045
8.734,33822.668
8.463,32606
8.072,31129
7.665,29449.666
7.177,27588
6.723,25755.334
6.163,23569.334
5.119,21215
4.85,18611
4.23,15947
3.259,11886.667
2.003,7022
1.208,4511.3335
0.867,3089.6667
0.545,1971
0.324,1138
0.151,491.33334
0.002,29.333334
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2.3333333
0.051,266.33334
0.154,729
0.299,1197.6666
0.783,3205
1.044,4518.6665
1.67,7084.3335
2.461,10132
3.34,13559.333
3.974,15710.667
4.484,17847
5.017,19948.334
5.542,22052.666
6.262,24973.334
6.979,27508
7.397,28905.666
7.694,30112.666
8.001,31235.666
8.296,32477.666
8.558,33521
8.817,34315.332
8.969,35041.332
9.204,35941.332
9.415,36766.332
9.088,37809.668
9.705,38247
9.798,37763.332
10.021,38871.668
10.102,39273.668
9.98,38804.332
10.013,39385.668
9.986,38293.332
9.173,30388
9.658,34906.332
9.359,36814.668
8.064,31466.334
8.243,32900
7.661,31905.666
7.69,29548.334
7.049,23069
6.588,25404.666
6.309,24334.666
5.804,20274.334
1.916,5122.6665
0.643,2417
2.422,12233.333
1.708,5904.3335
0.967,3617.6667
0.411,1691.3334
0.596,2201
0.337,1171.6666
0.174,597
0.048,188
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.003,51
0.106,501
0.244,1008.3333
0.417,1765.3334
0.758,3115.3333
1.36,5835.6665
2.066,8636
2.605,11310.667
2.236,9594
2.703,10563
4.602,18515.666
4.731,19208.334
5.816,24383.666
